,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D090524,TB,96.81,96.81,96.81,96.81,96.81,96.84,600,58086.0,24-NOV-2023,4,IN002023Y334,
1,182D140324,TB,98.07,98.07,98.07,98.07,98.07,97.77,100,9807.0,24-NOV-2023,1,IN002023Y250,
2,182D160524,TB,96.58,96.64,96.58,96.64,96.64,96.64,200,19322.0,24-NOV-2023,2,IN002023Y342,
3,182D180424,TB,97.14,97.14,97.14,97.14,97.14,97.14,900,87426.0,24-NOV-2023,2,IN002023Y300,
4,182D230524,TB,95.0,96.6,95.0,96.6,96.6,96.58,500,48110.0,24-NOV-2023,5,IN002023Y359,
5,20MICRONS,BE,180.0,184.7,180.0,182.5,183.0,178.7,90734,16621007.55,24-NOV-2023,688,INE144J01027,
6,21STCENMGM,EQ,22.5,22.5,22.35,22.5,22.5,22.1,14838,333621.1,24-NOV-2023,80,INE253B01015,
7,360ONE,EQ,540.7,552.7,536.85,543.1,543.6,540.3,201774,110083583.95,24-NOV-2023,13900,INE466L01038,
8,364D110124,TB,98.93,98.93,98.93,98.93,98.93,98.87,100,9893.0,24-NOV-2023,1,IN002022Z416,
9,364D130624,TB,96.2,96.2,96.2,96.2,96.2,96.37,2000,192400.0,24-NOV-2023,1,IN002023Z125,
10,364D141124,TB,93.47,93.47,93.47,93.47,93.47,93.4,500,46735.0,24-NOV-2023,1,IN002023Z356,
11,3IINFOLTD,EQ,48.65,50.95,46.55,47.1,47.3,48.45,15201040,742629992.1,24-NOV-2023,29773,INE748C01038,
12,3MINDIA,EQ,30600.0,30769.55,30230.0,30325.2,30448.0,30721.55,1311,39978200.05,24-NOV-2023,699,INE470A01017,
13,3PLAND,EQ,29.65,30.7,29.25,29.95,30.15,29.5,28011,837098.3,24-NOV-2023,875,INE105C01023,
14,574GS2026,GS,96.0,97.0,96.0,97.0,97.0,97.0,303,29191.0,24-NOV-2023,3,IN0020210186,
15,5PAISA,EQ,456.6,503.5,454.8,498.85,503.5,454.6,956754,467867445.7,24-NOV-2023,48660,INE618L01018,
16,613GS2028,GS,98.97,98.97,98.97,98.97,98.97,98.14,90000,8907300.0,24-NOV-2023,1,IN0020030022,
17,618GS2024,GS,98.9,102.0,98.9,102.0,102.0,102.0,11,1103.4,24-NOV-2023,2,IN0020190396,
18,63MOONS,EQ,428.0,444.4,411.3,425.3,413.1,423.25,841791,367306989.8,24-NOV-2023,17011,INE111B01023,
19,654GS2032,GS,97.4,98.25,97.4,97.4,97.4,97.4,685,66745.5,24-NOV-2023,6,IN0020210244,
20,669GS2024,GS,102.35,102.75,102.25,102.35,102.35,102.8,4503,460782.75,24-NOV-2023,8,IN0020220052,
21,676GS2061,GS,96.77,96.77,96.77,96.77,96.77,96.78,3,290.31,24-NOV-2023,1,IN0020200401,
22,68GS2060,GS,95.05,95.55,95.05,95.55,95.55,95.52,48,4585.9,24-NOV-2023,2,IN0020200187,
23,695GS2061,GS,99.1,99.1,96.8,99.1,99.1,99.1,8615,850769.1,24-NOV-2023,13,IN0020210202,
24,699GS2026,GS,100.95,100.95,100.95,100.95,100.95,100.95,250,25237.5,24-NOV-2023,1,IN0020230028,
25,706GS2028,GS,100.35,100.35,100.05,100.27,100.3,100.2,56799,5696042.95,24-NOV-2023,10,IN0020230010,
26,710GS2029,GS,100.35,100.35,100.21,100.35,100.35,100.41,24298,2438249.7,24-NOV-2023,5,IN0020220011,
27,717GS2030,GS,100.02,100.21,100.0,100.01,100.01,100.01,5701,570264.01,24-NOV-2023,18,IN0020230036,
28,718GS2033,GS,100.16,100.16,100.0,100.14,100.0,101.75,1100,110160.0,24-NOV-2023,2,IN0020230085,
