"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"6882","OPTCUR","USDINR","OPTION","10-Nov-2023",76.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.3875,7.2125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.305,"USDINR"
"3121","OPTCUR","USDINR","OPTION","10-Nov-2023",76.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.1375,6.9625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.1725,"USDINR"
"9448","OPTCUR","USDINR","OPTION","10-Nov-2023",77,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.8875,6.7125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.375,"USDINR"
"9450","OPTCUR","USDINR","OPTION","10-Nov-2023",77.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.63,6.455,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.125,"USDINR"
"9452","OPTCUR","USDINR","OPTION","10-Nov-2023",77.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.38,6.205,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.8775,"USDINR"
"9473","OPTCUR","USDINR","OPTION","10-Nov-2023",77.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.13,5.955,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.6275,"USDINR"
"9475","OPTCUR","USDINR","OPTION","10-Nov-2023",78,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.88,5.705,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.38,"USDINR"
"9477","OPTCUR","USDINR","OPTION","10-Nov-2023",78.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.63,5.455,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.1325,"USDINR"
"9479","OPTCUR","USDINR","OPTION","10-Nov-2023",78.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.38,5.205,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.885,"USDINR"
"9481","OPTCUR","USDINR","OPTION","10-Nov-2023",78.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.13,4.955,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.6375,"USDINR"
